spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,popularity
6681.157958,0.061798302,3702.628489,3050.839415,23.32702331,-6.098466873,0.357087091,96
5220.053245,0.040334714,3305.691668,2401.781012,20.7507622,-0.180288928,0.398740768,98
5577.257612,0.046056249,3339.098184,2627.184249,22.71258404,-0.66811794,0.462718338,99
4167.408497,0.046837162,2621.306574,2160.290086,20.06274844,1.874831498,0.441939175,95
6146.490618,0.038298563,3479.728878,2637.626929,21.65304701,0.654644102,0.40604648,97
4953.403914,0.039627085,3303.775199,2371.381139,21.28633516,0.308714077,0.489885688,92
6503.965034,0.076562338,3403.722566,3289.934868,20.25081953,1.194151819,0.551774591,99
6637.382463,0.054287343,3608.857335,2981.997651,22.21836283,-1.990326941,0.4290829,95
6928.63395,0.081261677,3548.524876,3511.457976,22.13607723,0.857701063,0.460944116,93
4192.630283,0.046412529,2578.587388,2124.510734,22.71577544,-2.842581868,0.322952539,96
6046.869066,0.046539417,3621.709554,2805.758472,22.25624231,-2.689478993,0.453988031,99
8859.373187,0.078498358,4184.418565,4004.910377,21.98390005,-2.159501672,0.450441733,97
3258.291496,0.025688038,2603.344112,1623.40804,21.52763537,3.973623037,0.480633453,92
3790.632,0.039959,2317.198456,1918.704168,20.21851278,0.707902376,0.533878773,91
7265.759161,0.063315965,3788.218674,3390.150919,21.1534555,2.485441506,0.514224887,92
4800.480635,0.044349357,2687.481271,2264.064909,21.35776531,3.890795588,0.497116074,91
8138.723305,0.083170772,4000.937301,3761.741544,21.7282908,3.867609739,0.418781817,4
6444.938872,0.056661151,3503.900429,3047.795964,21.08375627,0.010393977,0.483091816,93
3951.381618,0.046522172,2631.305827,2122.067695,23.16730961,-3.573481441,0.286758423,92
7153.822768,0.080067369,3793.805608,3605.475498,20.25639289,1.528875232,0.529150665,90
3603.393469,0.03607154,2833.996787,1980.870438,22.14982446,-6.466055632,0.330823183,91
4292.046073,0.044433121,2786.496133,2163.436236,21.82599568,-0.558178037,0.366563484,92
7650.935155,0.06713049,3916.639842,3492.334079,21.41892272,1.166227579,0.488989606,96
4379.549575,0.031490217,3135.944388,2236.752352,20.08472102,3.96444571,0.558370918,98
6018.00468,0.045296943,3792.876806,2831.570959,21.11187046,2.292580128,0.554920733,6
7185.561108,0.066821285,3566.426358,3190.060085,21.58995329,5.054367542,0.499980778,9
5822.301289,0.06353963,3356.912507,2941.945044,22.78468368,-4.904886246,0.382742718,90
3984.778277,0.032859284,3032.47514,1999.017864,22.507904,-2.23394978,0.333285421,92
4149.093013,0.043293394,2784.509614,2134.799758,20.12484311,3.830322862,0.585581809,90
7592.946664,0.099606599,3490.403704,3765.759664,21.2830402,0.614298403,0.537827075,7
7864.503637,0.076109745,3947.740745,3640.443663,21.2102504,-0.24458915,0.435571492,96
6216.014799,0.046318061,3551.525937,2801.428686,21.5624412,2.571412563,0.491531998,4
6247.849762,0.044118507,3498.289086,2849.159406,21.3398477,4.953549385,0.677169353,93
6358.960509,0.047781235,3348.496778,2842.655012,22.37252759,0.789753884,0.454690233,98
5753.282417,0.037917524,3176.664983,2667.373984,22.76555352,3.595028043,0.506305307,99
5733.873869,0.048188201,3475.01814,2721.174501,20.58770713,5.250227451,0.446557671,3
4793.435321,0.041035935,2961.949407,2286.078802,20.98169892,1.784496486,0.47172977,98
4127.319815,0.038968166,2788.874988,2015.277307,22.81860543,-1.209531903,0.376254961,91
5741.365361,0.073079201,3075.471634,2937.876464,21.0977756,0.080455244,0.453315586,13
5614.046064,0.048392693,3328.465675,2612.779121,20.47639625,0.803904295,0.484071568,94
6514.110963,0.053588632,3752.176101,3074.101431,21.13402407,-4.657864332,0.44411023,97
5146.17662,0.044068498,3373.076123,2463.78377,22.78127093,-1.356488883,0.37380594,92
4807.810724,0.046950739,3132.415969,2436.97357,22.20211759,-0.487614647,0.443796322,90
6081.817652,0.045807669,3434.486413,2629.964349,22.00427278,-0.132171955,0.482381597,93
5761.95654,0.039536886,3399.821811,2628.05918,22.34296019,0.102961704,0.501612157,96
9371.459938,0.079710466,4699.453979,4121.234712,20.28574689,-0.448646665,0.456872419,97
6143.321377,0.045997014,3220.645251,2918.59665,22.23418534,3.58032012,0.513400614,3
6414.842245,0.084613813,3232.120259,3098.718282,21.30038948,-0.467539877,0.462632507,9
4112.937121,0.03973078,2705.490488,2068.375823,20.46521844,1.809457898,0.491133243,94
5281.435493,0.051193952,2955.244889,2640.976,21.59336864,-2.002851605,0.494302124,97
4013.533489,0.043057271,3068.07132,2192.765028,20.78737354,3.188860893,0.466220737,8
4641.013053,0.054257417,2781.937474,2418.90858,21.1817938,-0.164449036,0.421025589,99
5900.059653,0.045760636,3640.103902,2699.139694,23.01567605,-3.281854868,0.34891212,4
5903.703701,0.052463967,3459.034287,2822.325747,21.39484681,-1.751985133,0.410376325,94
5626.034537,0.04733367,3396.635289,2689.642298,20.81834664,2.860323668,0.460081637,12
5105.533523,0.052063379,2873.5368,2522.425155,21.50386682,0.051106595,0.444746017,93
5473.420845,0.047628352,3157.95792,2580.865777,21.48592892,0.237683609,0.485614061,7
2761.774747,0.028839006,2663.550867,1648.10151,23.30333012,-8.343154907,0.317604333,5
6470.823377,0.053327803,3720.790964,3035.729986,21.69691249,0.248262711,0.472473696,91
6834.521829,0.066044685,3716.771232,3240.316407,21.11952159,-0.264446901,0.403343484,92
9050.9945,0.081617666,4617.498555,4050.671787,21.50062045,1.764332652,0.451748252,3
6376.492823,0.054750215,3328.645194,2949.426627,21.9322469,-0.815106392,0.377306476,96
5124.124278,0.041550196,3124.65121,2398.403177,21.66336068,0.774055988,0.48462902,93
5104.960589,0.036523933,2959.523325,2259.212352,21.71216729,2.171292663,0.51813969,94
5302.717377,0.064617005,2934.810365,2734.229655,20.6130658,2.644722939,0.53206417,97
5671.161349,0.060088762,3308.879316,2812.825977,20.52370905,1.717563331,0.458431453,93
5924.496414,0.052279102,3535.608597,2836.201732,20.66190808,3.487996817,0.450634703,93
7531.358027,0.060559151,3999.437679,3434.254679,21.39712805,3.405676723,0.353503332,98
4965.372155,0.055188789,3024.222592,2531.834137,21.86504053,-1.893729746,0.418110967,99
6423.032195,0.050588922,3582.956822,3157.620377,22.84466291,5.350910664,0.551984906,91
6326.632319,0.061738505,3257.09266,3053.988229,23.63219767,-1.997150183,0.33687371,10
5415.379472,0.044509171,3232.811038,2496.389135,21.73068052,0.150281131,0.452271387,98
4230.212955,0.042670021,2559.164661,2052.954212,20.57024969,1.009982944,0.524628878,98
5049.717336,0.039171722,3130.185891,2369.873666,21.20201938,0.869941868,0.499059543,93
3217.032443,0.032057217,2456.508319,1691.9102,22.139923,-1.040766358,0.459631473,15
5723.422505,0.082066504,2967.029774,3019.569405,19.68046319,0.269451559,0.502586603,9
5146.530795,0.04301492,3066.574695,2390.387577,20.83057428,2.34703517,0.502451539,8
6757.038494,0.058839777,3763.46196,3177.634108,20.37144439,4.94165659,0.499378681,10
6556.592635,0.054692996,3582.719241,3064.541292,21.83412652,2.296995878,0.516028821,14
6610.007796,0.06043495,3477.205017,3208.830387,21.84476896,1.374121368,0.488071814,96
5109.509435,0.056888374,2960.06655,2531.081102,21.71790239,-0.684891284,0.37641643,96
6238.789254,0.053593696,3517.088453,2989.306857,20.68861398,1.098248482,0.44325231,98
4958.08824,0.044663099,3124.674081,2450.424075,21.83813282,0.803389698,0.435718402,97
6057.151129,0.053270121,3382.405739,2850.48303,21.67764031,1.211409748,0.407747701,94
7011.855466,0.053186584,3765.15125,3090.014852,20.8368653,1.653731227,0.446912348,98
8752.704265,0.076069039,4411.635031,4099.360477,21.45442392,-1.313966304,0.476630867,91
3742.485995,0.037075269,2676.209337,1950.084785,22.0245657,0.873684824,0.353096038,99
4032.001597,0.028606186,2937.805836,1914.287348,22.84820336,-7.239266872,0.371971518,7
