spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,tempo,rms,track_id
5298.22435609674,0.038961890115593964,2940.3202043925808,2360.9915589476827,21.8362331669073,-1.2295924,0.50810146,93.75,0.21659051,04V3hO138BCddFy9TmTUic
1989.1034820204343,0.024992402258226812,1786.7780506343856,1130.9683148419404,22.919202055064183,-0.19394429,0.43112898,100.44642857142857,0.13357426,0504BmZ0EdVRO4faj6q0Yc
6301.762442645934,0.06707483311560031,3304.57953071744,2977.8958623282483,21.439851978902652,4.7650537,0.44275877,114.79591836734694,0.27833933,055360csWJbFFGCLNxaTkx
6666.504972107688,0.05123331577431482,3523.845355644886,2971.3648326906064,21.517576738057148,1.8566576,0.49784654,125.0,0.19433883,058beKosGKglMtEQ3sZwq6
3155.7233012479073,0.025159550288832242,2768.299288676471,1664.6974457538274,21.311240132540366,1.4397787,0.46369177,165.44117647058823,0.16300076,05B4ROjViZEHFGATQzPQJI
4055.019854536738,0.030492567756169257,3098.951483641107,1954.4318694965257,24.80774594134138,-5.636084,0.3873911,95.33898305084746,0.17070708,05b6SX5DjBpvd5rYIxmwOz
5349.179864253394,0.038013279229961214,3424.876194007905,2429.0683548866887,21.89140740189499,0.43695986,0.4639776,137.1951219512195,0.13761048,05pKAafT85jeeNhZ6kq7HT
1444.607666858458,0.017350597549865746,2028.7597352046612,989.2618952789493,23.014967445003297,-9.227126,0.34266105,79.22535211267606,0.03619012,05QEiRtbs57De7NxgUNOHp
3665.0105746791132,0.03053199612768216,2914.678835546936,1894.0771822030104,22.69416038678879,-0.55763364,0.3544724,102.27272727272727,0.19462201,05REArTDZQd59A9Y4XC0Aq
4397.576242152164,0.03529545284336394,2822.1667636464726,2072.2304688734766,21.436204079477168,5.21261,0.5201459,160.71428571428572,0.25853434,05ZUxHiGT7VR6ShJjhwJxn
6466.720994020713,0.05856472189341706,3484.3278812973713,2945.3701008586154,21.39917689648629,5.2570972,0.4172933,144.23076923076923,0.30055043,067myxyF0oOrjlStXYE3gW
3030.275528640257,0.026940421322938973,2451.992558260993,1610.3679924456926,23.438345070611696,-1.4111781,0.41738847,114.79591836734694,0.2066431,068qo0w1Ki0cjnFYOUhAm2
6181.889319601944,0.036278788366408236,3633.0511171198323,2618.2225669200425,21.346927127058997,0.43028176,0.41412097,100.44642857142857,0.21223241,06KyNuuMOX1ROXRhj787tj
3798.969845389596,0.026044573751581455,2558.5896742796886,1777.2120770988993,22.67100643975259,-0.16241051,0.46372977,165.44117647058823,0.30529222,06nKF46jG8p1zwyP4ziAyG
4776.334594394081,0.03352806357727956,3208.4127562106396,2158.388702505439,21.539172185469084,-3.3278346,0.47209993,137.1951219512195,0.055220075,06R84YHz9bqaQzEbIWxzsw
7145.933598314779,0.04417829644350821,3716.3477631309283,2963.127408143348,21.929838296408235,3.5992672,0.44444308,137.1951219512195,0.18848981,06urexU7lv41RDdLnMzChi
4693.477959523149,0.051920166805286015,2429.091707292491,2328.686183974139,20.06241129669531,3.7814624,0.5720533,83.95522388059702,0.17906697,06WUUNf7q18NZfjIsQFsfa
4456.690689187845,0.03315824790495847,3234.204777852973,2136.040262221669,23.415750135421067,1.5613471,0.30987352,93.75,0.21555336,06zJUeKU5KFy50Cho6pDcr
3070.955607610945,0.027220472737985744,2482.490851625588,1601.2678976259292,22.795876476088882,0.25833157,0.4405142,119.68085106382979,0.13910578,07CUaE9XAgDQ0B2T4XGrnN
2447.919136179876,0.03995734923231933,1803.1216633636006,1415.6956482835676,23.333106479649167,-6.235384,0.30871972,112.5,0.06778336,07E0HpWW8gr89oe9iRxOZu
